n,alpha,seed,mean_penalty,seconds
1,0.9,2,-111.58,2918.1311803264543
1,0.9,1,-101.04,2919.548479024321
1,0.9,0,-152.14,2925.6938953157514
1,0.8,1,-104.84,2949.7208913629875
1,0.8,2,-131.3,2953.573680298403
1,0.8,0,-105.54,2967.7102416194975
1,0.7,0,-108.1,2968.057582775131
1,0.7,1,-129.14,2968.895995036699
1,0.7,2,-102.36,2997.5724025703967
1,0.6,0,-117.18,3079.5265222433954
1,0.6,2,-116.22,3127.2828627834097
1,0.6,1,-113.06,3218.359342634678
1,0.5,1,-111.96,3229.6125075928867
1,0.5,0,-141.46,3232.457087047398
1,1.0,1,-132.8,3248.2973361313343
1,0.5,2,-132.2,3250.893637084402
1,1.0,2,-124.86,3262.233691287227
1,1.0,0,-136.18,3328.1223999205977
1,0.4,0,-111.1,3450.1312663499266
1,0.4,2,-137.94,3456.395084644668
1,0.4,1,-119.52,3477.438355498016
1,0.3,0,-151.6,3810.2689729603007
1,0.3,1,-172.42,3817.891326326877
1,0.3,2,-136.46,3840.0811353875324
1,0.2,1,-211.86,4328.9925518315285
1,0.2,0,-187.5,4346.723900563084
1,0.2,2,-202.16,4358.606306976639
1,0.1,2,-305.5,5127.154401591979
1,0.1,1,-319.94,5131.179653722793
1,0.1,0,-321.24,5142.946361354552
2,0.6,1,-76.82,5666.468835924752
2,0.6,2,-78.06,5729.447609720752
2,0.6,0,-93.92,5747.273987767287
2,0.5,0,-95.82,5858.3842849787325
2,0.5,2,-93.62,5897.4679282289
2,0.5,1,-107.68,5946.333475288004
2,0.4,0,-92.52,6255.991548635066
2,0.4,1,-78.2,6297.564112300985
2,0.4,2,-94.32,6377.148693469353
2,0.3,2,-100.52,6911.329142178409
2,0.3,0,-111.82,6914.448788923211
2,0.3,1,-117.62,6956.2780715394765
2,0.2,1,-116.52,7950.943463400938
2,0.2,2,-149.84,7983.661754515022
2,0.2,0,-162.0,8015.893809660338
2,0.7,2,-89.32,5653.550071310252
2,0.7,1,-92.48,5681.570754447021
2,0.7,0,-83.74,5695.378456267528
2,0.8,1,-125.42,5883.234446908347
2,0.8,0,-81.78,5912.041220210493
2,0.8,2,-98.88,5950.877587317489
2,0.1,1,-187.62,9543.11087786965
2,0.1,2,-252.92,9560.058979518712
2,0.1,0,-162.24,9623.80847917404
2,0.9,0,-163.78,6728.872179910541
2,0.9,1,-119.52,6734.820574908517
2,0.9,2,-129.8,6782.161461952142
2,1.0,0,-498.3,11721.630951529369
2,1.0,1,-490.82,11754.800423763692
4,0.4,0,-69.02,11213.233033812605
2,1.0,2,-502.0,11833.94648663979
4,0.3,2,-50.66,11669.366420920007
4,0.4,1,-70.3,11391.628140718676
4,0.3,1,-68.1,11869.230258965865
4,0.4,2,-62.2,11492.967644360848
4,0.3,0,-54.4,12004.344527340494
4,0.5,2,-72.36,11617.742279903963
4,0.5,0,-64.92,11691.046901287511
4,0.5,1,-66.36,11772.68490217533
4,0.2,1,-69.16,13135.20309165772
4,0.2,0,-50.9,13267.763618299738
4,0.2,2,-49.48,13241.121903075837
4,0.6,0,-75.34,13012.882193518803
4,0.6,1,-86.4,13140.392387268133
4,0.6,2,-73.3,13194.541504098102
